Question,Answer
Who acted as Capt. Adams in the movie 'Under Siege'?,Патрик О’Нил
Who acted as Oli in the movie 'Hostel'?,Eythor Gudjonsson
Who acted as Elder / Survivor in the movie 'Waterworld'?,Zitto Kazann
Who acted as Ellie in the movie 'Cursed'?,Christina Ricci
Who acted as Dmitriy Seleznyov in the movie 'Leviathan'?,Vladimir Vdovichenkov
Who acted as George in the movie 'Scary Movie 3'?,Simon Rex
Who acted as Joe Connor in the movie 'Shooting Dogs'?,Hugh Dancy
Who acted as Veronica Gorloisen in the movie 'The Sorcerer's Apprentice'?,Monica Bellucci
Who acted as Kate McCallister in the movie 'Home Alone 4'?,Clare Carey
Who acted as Mary Catherine in the movie 'Happythankyoumoreplease'?,Zoe Kazan
Who acted as Wendy Torrance in the movie 'The Shining'?,Shelley Duvall
Who acted as Edgar Paddington in the movie 'Valentine's Day'?,Héctor Elizondo
Who acted as Dee in the movie 'Crimes of Fashion'?,Jill Morrison
Who acted as Michael Lutz in the movie 'The Amityville Horror'?,Jimmy Bennett
Who acted as Kasey in the movie 'My Name Is Bruce'?,Janelle Farber
Who acted as Detective Burquez in the movie 'Evidence'?,Radha Mitchell
Who acted as Chen Sam in the movie 'Burton and Taylor'?,Lenora Crichlow
Who acted as Reinhardt in the movie 'Blade II'?,Ron Perlman
Who acted as Matt McGuire in the movie 'The Lizzie McGuire Movie'?,Jake Thomas
Who acted as Joanne in the movie 'Citadel'?,Amy Shiels
Who acted as Tabby in the movie 'The Battle of Shaker Heights'?,Amy Smart
Who acted as as Lord Edmund St. John-Smythe in the movie 'Hysteria'?,Rupert Everett
Who acted as Matt in the movie 'Barely Legal'?,Daniel Farber
Who acted as Zophael in the movie 'The Prophecy 3: The Ascent'?,Vincent Spano
Who acted as Chaz in the movie 'Honey'?,Mekhi Phifer
Who acted as Larry Byrne in the movie 'Mirrors'?,Jason Flemyng
Who acted as Mr. Spock in the movie 'Star Trek: The Motion Picture'?,Leonard Nimoy
Who acted as Michael Tarlow in the movie 'Narrow Margin'?,J.T. Walsh
Who acted as Tommy in the movie 'Small Time Crooks'?,Tony Darrow
Who acted as Becca in the movie 'The Crazies'?,Danielle Panabaker
Who acted as Dellwo in the movie 'The Last Castle'?,Paul Calderon
Who acted as Jerry in the movie 'Welcome to the Rileys'?,Joe Chrest
Who acted as Stuart in the movie 'Hostel: Part II'?,Roger Bart
Who acted as Jeffrey Anderson in the movie 'Soapdish'?,Kevin Kline
Who acted as Niels in the movie 'Open Hearts'?,Mads Mikkelsen
Who acted as Judy Marks in the movie 'Sliver'?,Colleen Camp
Who acted as Broly in the movie 'Dragon Ball Z: Broly - Second Coming'?,Bin Shimada
Who acted as Sasha in the movie 'Cube²: Hypercube'?,Grace Lynn Kung
Who acted as Fernández in the movie 'Films to Keep You Awake: The Baby's Room'?,Antonio Dechent
Who acted as Kelly-087 in the movie 'Halo 4: Forward Unto Dawn'?,Jenna Berman
Who acted as Sara Moyer in the movie 'Halloween: Resurrection'?,Bianca Kajlich
Who acted as Detective Burton in the movie 'Paparazzi'?,Dennis Farina
Who acted as Sam Bennet in the movie 'Concussion'?,Maggie Siff
Who acted as Steve in the movie 'Cirque du Freak: The Vampire's Assistant'?,Josh Hutcherson
Who acted as Dr. Lynn Denlon in the movie 'Saw III'?,Bahar Soomekh
Who acted as John in the movie 'Lost in Translation'?,Giovanni Ribisi
Who acted as Gerry in the movie 'P.S. I Love You'?,Gerard Butler
Who acted as Mia Francis in the movie 'A Dark Truth'?,Eva Longoria
Who acted as Mac in the movie 'The Heartbreak Kid'?,Rob Corddry
"Who acted as Georgiana Cavendish, Duchess of Devonshire in the movie 'The Duchess'?",Keira Knightley
Who acted as Allan in the movie 'Cody the Robosapien'?,David Eigenberg
Who acted as Alex Hughes in the movie 'Snow Cake'?,Alan Rickman
Who acted as Kitty Olchin in the movie 'The Yards'?,Faye Dunaway
Who acted as Dr. David Kruipen in the movie 'The Thaw'?,Val Kilmer
Who acted as Tara in the movie 'Kama Sutra - A Tale of Love'?,Sarita Choudhury
Who acted as Florence in the movie 'Let It Rain'?,Pascale Arbillot
Who acted as Jeff in the movie 'Upstream Color'?,Shane Carruth
Who acted as Lieutenant Fujita in the movie 'Letters from Iwo Jima'?,Hiroshi Watanabe
Who acted as Jane Carson in the movie 'Welcome to Sarajevo'?,Kerry Fox
Who acted as Insp. Harry Callahan in the movie 'Sudden Impact'?,Clint Eastwood
Who acted as Ruby in the movie 'A Family Thing'?,Grace Zabriskie
Who acted as Asa Timberlake in the movie 'In This Our Life'?,Frank Craven
Who acted as Himself in the movie 'Side by Side'?,David Lynch
Who acted as Simon McCullough in the movie 'The Eye'?,Rade Serbedzija
Who acted as Eric in the movie 'A Hole in My Heart'?,Björn Almroth
Who acted as José Alvarez in the movie 'The Connection'?,Guillaume Gouix
Who acted as Jack in the movie 'Life or Something Like It'?,Tony Shalhoub
Who acted as Reporter in the movie 'Baby Geniuses'?,Dan Monahan
Who acted as Ed in the movie 'Identity'?,John Cusack
Who acted as Spring in the movie 'Things We Lost in the Fire'?,Sarah Dubrovsky
Who acted as Rose in the movie 'Once Fallen'?,Amy Madigan
Who acted as Erlend in the movie 'Dead Snow'?,Jeppe Beck Laursen
Who acted as Maggie in the movie 'Addicted to Love'?,Meg Ryan
Who acted as Roarke / The Devil in the movie 'Ghost Rider: Spirit of Vengeance'?,Ciarán Hinds
Who acted as Tilly Masterson in the movie 'Goldfinger'?,Tania Mallet
Who acted as Ash in the movie 'Army of Darkness'?,Bruce Campbell
Who acted as Kate in the movie 'Alpha and Omega'?,Hayden Panettiere
Who acted as Colonel James Langdon in the movie 'The Undefeated'?,Rock Hudson
Who acted as Mr. Dashwood in the movie 'Sense and Sensibility'?,Tom Wilkinson
Who acted as Pedrosa in the movie 'Collateral'?,Bruce McGill
Who acted as Phil Broker in the movie 'Homefront'?,Jason Statham
Who acted as First Hood in the movie 'The Singing Detective'?,Adrien Brody
Who acted as Emily Montgomery in the movie 'In & Out'?,Joan Cusack
Who acted as Sgt. Ward in the movie 'A Walk in the Sun'?,Lloyd Bridges
Who acted as Michelle in the movie 'Open Water 2: Adrift'?,Cameron Richardson
Who acted as Anthony Bridewell in the movie 'The Time Machine'?,Tom Helmore
Who acted as Charles in the movie 'The Maiden Heist'?,Morgan Freeman
Who acted as Juanita Jordan in the movie 'Space Jam'?,Theresa Randle
Who acted as Malena Scordia in the movie 'Malena'?,Monica Bellucci
Who acted as Abby Morse Borden in the movie 'Lizzie Borden Took An Ax'?,Sara Botsford
Who acted as Arthur in the movie 'Pennies from Heaven'?,Steve Martin
Who acted as Losado in the movie 'No Mercy'?,Jeroen Krabbé
Who acted as Nick Schaffer in the movie 'Rat Race'?,Breckin Meyer
Who acted as Philip Stevens in the movie 'Airport '77'?,James Stewart
"Who acted as Goofy, Will, Ryan, Pete in the movie 'Mickey's Christmas Carol'?",Hal Smith
Who acted as Princess Inanna in the movie 'Year One'?,Olivia Wilde
Who acted as Leo in the movie 'Thief'?,Robert Prosky
Who acted as Raquel Martinez in the movie 'A Perfect Murder'?,Sarita Choudhury
Who acted as Himself in the movie 'Paper Heart'?,Gill Summers
Who acted as Christine Daaé in the movie 'The Phantom of the Opera'?,Mary Philbin
Who acted as George in the movie 'Are You Here'?,Jason Davis
"Who acted as Dr. Alfred Lanning in the movie 'I, Robot'?",James Cromwell
Who acted as Frankie in the movie 'Set It Off'?,Vivica A. Fox
Who acted as Phil Hicks in the movie 'Fandango'?,Judd Nelson
"Who acted as John Smith in the movie 'Guns, Girls and Gambling'?",Christian Slater
Who acted as Robin Wright in the movie 'The Congress'?,Robin Wright
Who acted as Fighter in the movie 'Never Back Down 2: The Beatdown'?,Beau Brasso
Who acted as Willy in the movie 'Ewoks: The Battle for Endor'?,Tony Cox
Who acted as Prince in the movie 'Three Wishes for Cinderella'?,Pavel Trávníček
Who acted as Simon McNeal in the movie 'Book of Blood'?,Jonas Armstrong
Who acted as Selma in the movie 'Head-On'?,Meltem Cumbul
Who acted as Randa in the movie 'Pretty Persuasion'?,Adi Schnall
Who acted as Bruto in the movie 'Caesar Must Die'?,Salvatore Striano
Who acted as The Major in the movie 'Mirage'?,Leif Erickson
Who acted as Friedrich Fromm in the movie 'Valkyrie'?,Tom Wilkinson
Who acted as Serafine Pigot in the movie 'An American Werewolf in Paris'?,Julie Delpy
Who acted as Mac Sam in the movie 'Miss Firecracker'?,Scott Glenn
Who acted as Helene in the movie 'The Celebration'?,Paprika Steen
Who acted as Bernard in the movie 'I Heart Huckabees'?,Dustin Hoffman
Who acted as Jake Hammond in the movie 'Wimbledon'?,Austin Nichols
Who acted as Claire in the movie 'Below'?,Olivia Williams
Who acted as Josette François in the movie 'My Way'?,Sabrina Seyvecou
Who acted as Emma in the movie 'Imaginary Friend'?,Lacey Chabert
Who acted as Bailey in the movie 'Hannie Caulder'?,Christopher Lee
Who acted as Himself in the movie 'Jiro Dreams of Sushi'?,Harutaki Takahashi
Who acted as Lacey Hellerstat in the movie 'Children of the Corn II: The Final Sacrifice'?,Christie Clark
Who acted as Silias in the movie 'Camille'?,James Franco
Who acted as Marcus in the movie 'Bringing Out the Dead'?,Ving Rhames
Who acted as Mallory Kane in the movie 'Haywire'?,Gina Carano
Who acted as Lead Villain in the movie 'The Maiden Heist'?,Joseph McKenna
Who acted as Sofia in the movie 'The Color Purple'?,Oprah Winfrey
Who acted as Lok in the movie 'SPL: Kill Zone'?,Ken Chang
Who acted as Sam Rivers in the movie 'Frankenfish'?,Tory Kittles
Who acted as Emma in the movie 'Cockneys vs Zombies'?,Georgia King
Who acted as Johnny Cage in the movie 'Mortal Kombat'?,Linden Ashby
Who acted as Harry in the movie 'The Man from Earth'?,John Billingsley
Who acted as Ash Vasudevan in the movie 'Million Dollar Arm'?,Aasif Mandvi
Who acted as Father Benedetto in the movie 'The American'?,Paolo Bonacelli
Who acted as Lieutenant Ito in the movie 'Letters from Iwo Jima'?,Shidou Nakamura
Who acted as Allyson in the movie 'Moms' Night Out'?,Sarah Drew
Who acted as Robin in the movie 'Confessions of a Teenage Drama Queen'?,Barbara Mamabolo
Who acted as Sol in the movie 'A Beautiful Mind'?,Adam Goldberg
Who acted as Dr. Flintstein in the movie 'Cold Souls'?,David Strathairn
Who acted as Mario Ruoppolo in the movie 'The Postman'?,Massimo Troisi
Who acted as Jenny Taylor in the movie 'Love Wrecked'?,Amanda Bynes
Who acted as Ben in the movie 'Love Is Strange'?,John Lithgow
Who acted as Lillian Kantrowitz in the movie 'A Walk on the Moon'?,Tovah Feldshuh
Who acted as Alec Leamas in the movie 'The Spy Who Came in from the Cold'?,Richard Burton
Who acted as Margaret in the movie 'Bedazzled'?,Eleanor Bron
Who acted as Charles Harker in the movie 'Spy Game'?,Stephen Dillane
Who acted as RoboCop in the movie 'RoboCop'?,Joel Kinnaman
Who acted as Peg in the movie 'Edward Scissorhands'?,Dianne Wiest
Who acted as Molly Stearns in the movie 'The Ides of March'?,Evan Rachel Wood
Who acted as Gwenwyfar in the movie 'The Mists of Avalon'?,Samantha Mathis
"Who acted as Maya Hayes in the movie 'Definitely, Maybe'?",Abigail Breslin
Who acted as Buddy Russo in the movie 'The French Connection'?,Roy Scheider
Who acted as Liam in the movie 'Once Fallen'?,Ed Harris
Who acted as Mr. George Wilson in the movie 'Dennis the Menace'?,Walter Matthau
Who acted as Melody Valentine in the movie 'Josie and the Pussycats'?,Tara Reid
Who acted as Helen Nosseross in the movie 'Night and the City'?,Googie Withers
Who acted as Suzanne Von Stroh in the movie 'Center Stage : Turn It Up'?,Sarah Jayne Jensen
Who acted as Receptionist in the movie 'Never Back Down 2: The Beatdown'?,Stacey Asaro
Who acted as Elias in the movie 'Trespass'?,Ben Mendelsohn
Who acted as God in the movie 'A Little Bit of Heaven'?,Whoopi Goldberg
Who acted as Stg. Rita Pompano in the movie 'Goodbye Lover'?,Ellen DeGeneres
Who acted as Narrator in the movie 'Deep Water'?,Tilda Swinton
Who acted as Tünde Eszter in the movie 'Werckmeister Harmonies'?,Hanna Schygulla
Who acted as Lupin III in the movie 'Lupin the 3rd'?,Shun Oguri
Who acted as Hull Barret in the movie 'Pale Rider'?,Michael Moriarty
Who acted as Tom in the movie 'A Few Best Men'?,Kris Marshall
Who acted as Penny Chadwick in the movie 'Blue Crush'?,Mika Boorem
Who acted as Maya Burson in the movie 'One Hour Photo'?,Erin Daniels
Who acted as Will Salas in the movie 'In Time'?,Justin Timberlake
Who acted as Alan Mooney in the movie 'Authors Anonymous'?,Dylan Walsh
Who acted as Bryce in the movie 'Into the Blue'?,Scott Caan
Who acted as Grace Peeples in the movie 'Peeples'?,Kerry Washington
Who acted as Mrs. Foster in the movie 'Where the Money is'?,Susan Barnes
Who acted as Earl in the movie 'Clay Pigeons'?,Gregory Sporleder
Who acted as Himself in the movie 'Jiro Dreams of Sushi'?,Daisuke Nakazama
Who acted as Charlotte A. Cavatica in the movie 'Charlotte's Web'?,Debbie Reynolds
Who acted as Nadine Boynton in the movie 'Appointment with Death'?,Carrie Fisher
Who acted as Ash in the movie 'Alien'?,Ian Holm
Who acted as Bison in the movie 'Street Fighter: The Legend of Chun-Li'?,Neal McDonough
Who acted as Jimmy Kilmartin in the movie 'Kiss of Death'?,David Caruso
Who acted as Marty in the movie 'Chestnut: Hero of Central Park'?,Ethan Phillips
Who acted as Maureen in the movie 'Paper Planes'?,Deborah Mailman
Who acted as  in the movie 'Citadel'?,James Cosmo
Who acted as Giselle Levy in the movie 'Mona Lisa Smile'?,Maggie Gyllenhaal
Who acted as Jahausa in the movie 'Medicine Man'?,Francisco Tsiren Tsere Rereme
Who acted as Phil Simmons in the movie 'Parental Guidance'?,Tom Everett Scott
Who acted as Malcolm Tucker in the movie 'In the Loop'?,Peter Capaldi
Who acted as Berger in the movie 'What's the Worst That Could Happen?'?,John Leguizamo
Who acted as Lt Gen. George Miller in the movie 'In the Loop'?,James Gandolfini
Who acted as Vera Brittain in the movie 'Testament of Youth'?,Alicia Vikander
Who acted as Nurse in the movie 'Shakespeare in Love'?,Imelda Staunton
Who acted as The Bowler in the movie 'Mystery Men'?,Janeane Garofalo
Who acted as Nurse Nancy Bauer in the movie 'The Day After'?,JoBeth Williams
Who acted as Tiger in the movie 'An American Tail'?,Dom DeLuise
Who acted as Katherine in the movie 'Skinwalkers'?,Sarah Carter
Who acted as Zara in the movie 'Pickup on South Street'?,Willis Bouchey
Who acted as Herzogin Ludovika von Bayern in the movie 'Sissi: The Young Empress'?,Magda Schneider
Who acted as Koshô in the movie 'Howl's Moving Castle'?,Mitsunori Isaki
Who acted as Tom Lincoln in the movie 'The Better Angels'?,Jason Clarke
Who acted as Jasmine Wu in the movie 'Doctor Detroit'?,Lydia Lei
Who acted as  in the movie 'Unconditional Love'?,Rupert Everett
Who acted as Russo in the movie 'Elite Squad: The Enemy Within'?,Sandro Rocha
Who acted as David Gordon in the movie 'The Lizzie McGuire Movie'?,Adam Lamberg
Who acted as Tom Kovacs in the movie 'Gacy'?,Charlie Weber
Who acted as Sonay in the movie 'Mustang'?,İlayda Akdoğan
Who acted as Gina in the movie 'Greenberg'?,Merritt Wever
Who acted as Arnold in the movie 'Georgia Rule'?,Cary Elwes
Who acted as Harry Shaw in the movie 'Lockout'?,Lennie James
Who acted as Jack Braddock in the movie 'Blue Thunder'?,Warren Oates
Who acted as Cassius in the movie 'Little Nicky'?,Tom Lister Jr.
Who acted as Norwegian Rat in the movie 'Your Friend the Rat'?,Sigmund Vik
Who acted as Jack in the movie 'Piranhaconda'?,Rib Hillis
Who acted as Agatha in the movie 'Minority Report'?,Samantha Morton
Who acted as Mrs Lyle in the movie 'The Sheltering Sky'?,Jill Bennett
Who acted as Lulu in the movie 'The Caveman's Valentine'?,Aunjanue Ellis
Who acted as Duncan Mudge in the movie 'The Mudge Boy'?,Emile Hirsch
Who acted as Paulie in the movie 'Rocky II'?,Burt Young
Who acted as George MacCready in the movie 'Cloak & Dagger'?,John McIntire
Who acted as Tommy Albright in the movie 'Brigadoon'?,Gene Kelly
Who acted as Lori in the movie 'Hollywood Ending'?,Debra Messing
Who acted as Bruno Ricci in the movie 'Bicycle Thieves'?,Enzo Staiola
Who acted as Drew Dixon in the movie 'Bad Company'?,Jeff Bridges
Who acted as Mr. Mushnik in the movie 'Little Shop of Horrors'?,Vincent Gardenia
Who acted as Sanosuke Sagara in the movie 'Rurouni Kenshin'?,Munetaka Aoki
Who acted as Ilana Green in the movie 'The Arrival'?,Lindsay Crouse
Who acted as Barani the Genie in the movie 'The 7th Voyage of Sinbad'?,Richard Eyer
Who acted as Kris Lucas in the movie 'The Answer Man'?,Lou Taylor Pucci
Who acted as Candidate Welles in the movie 'Postal'?,J.K. Simmons
Who acted as Varden Reynard in the movie 'Rush Hour 3'?,Max von Sydow
Who acted as Prince Asaka Yasuhiko in the movie 'John Rabe'?,Teruyuki Kagawa
Who acted as Henry Tilley in the movie 'The Grand Seduction'?,Mark Critch
Who acted as Katherine in the movie 'Under the Tuscan Sun'?,Lindsay Duncan
Who acted as Thor Carlsson in the movie 'A Kiss Before Dying'?,Max von Sydow
Who acted as Marty Huggins in the movie 'The Campaign'?,Zach Galifianakis
Who acted as Willie Morris in the movie 'My Dog Skip'?,Frankie Muniz
Who acted as Toku in the movie 'In the Realm of the Senses'?,Aoi Nakajima
Who acted as Glenn in the movie 'Murder in the First'?,Gary Oldman
Who acted as Joyce Sordino in the movie 'Speak'?,Elizabeth Perkins
Who acted as Bárbara in the movie 'Romasanta'?,Elsa Pataky
Who acted as Karim in the movie 'The 7th Voyage of Sinbad'?,Danny Green
Who acted as Liz McHollis in the movie 'Safety Not Guaranteed'?,Jenica Bergere
Who acted as Brian Powell in the movie 'Jack'?,Brian Kerwin
Who acted as Paul Kersey in the movie 'Death Wish 2'?,Charles Bronson
Who acted as Perry in the movie 'Alone in the Dark 2'?,Danny Trejo
Who acted as Albert F. Peterson in the movie 'Bye Bye Birdie'?,Dick Van Dyke
Who acted as Louella Parsons in the movie 'The Cat's Meow'?,Jennifer Tilly
Who acted as Colter Stevens in the movie 'Source Code'?,Jake Gyllenhaal
